INVOICE_NO,CHIPSET / ASP,CPU / MPU,DISCRETE,LINEAR IC,LOGIC IC,MEMORY_EMBEDED,MEMORY_SYSTEM,OPTICAL AND SENSOR,OTHERS,PEMCO
216071204,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071209,0.0,0.0,0.0,6000.0,275000.0,0.0,0.0,0.0,0.0,0.0
216071221,0.0,0.0,3000.0,62000.0,97000.0,0.0,0.0,0.0,0.0,0.0
216071222,0.0,0.0,5000.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071224,0.0,0.0,0.0,305000.0,39500.0,0.0,0.0,0.0,2000.0,0.0
216071229,12800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071231,0.0,0.0,46500.0,3000.0,38000.0,0.0,0.0,0.0,0.0,0.0
216071242,0.0,0.0,0.0,2500.0,2000.0,0.0,0.0,0.0,0.0,0.0
216071247,0.0,0.0,0.0,2500.0,43000.0,42000.0,0.0,0.0,0.0,0.0
216071251,0.0,0.0,46000.0,324000.0,27000.0,0.0,0.0,0.0,112000.0,0.0
216071252,0.0,0.0,90000.0,146000.0,102000.0,0.0,0.0,0.0,0.0,0.0
216071253,0.0,10000.0,181800.0,235500.0,71000.0,0.0,0.0,0.0,0.0,0.0
216071262,0.0,0.0,0.0,29500.0,0.0,0.0,0.0,0.0,1500.0,0.0
216071270,0.0,0.0,234220.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0
216071271,0.0,0.0,7351443.0,67549.0,7030.0,0.0,0.0,0.0,0.0,0.0
216071272,0.0,0.0,953256.0,0.0,0.0,0.0,0.0,28906.0,0.0,0.0
216071273,0.0,0.0,7698930.0,1050.0,2474.0,0.0,0.0,0.0,0.0,0.0
216071274,0.0,0.0,299041.0,0.0,0.0,0.0,0.0,90.0,9152.0,0.0
216071282,0.0,0.0,0.0,4000.0,0.0,3531.0,0.0,0.0,0.0,0.0
216071288,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071293,0.0,0.0,0.0,292500.0,27000.0,0.0,0.0,0.0,0.0,0.0
216071295,1319608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071301,500724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071305,0.0,0.0,1082000.0,2054500.0,352000.0,0.0,0.0,0.0,1420000.0,0.0
216071320,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071322,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071329,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071332,0.0,0.0,3000.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
216071364,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
216071375,165799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071435,0.0,0.0,48000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0
216071446,0.0,0.0,0.0,6000.0,27000.0,0.0,0.0,0.0,0.0,0.0
216071448,0.0,0.0,0.0,28000.0,71000.0,0.0,0.0,0.0,0.0,0.0
216071454,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071456,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071483,0.0,0.0,0.0,145000.0,40000.0,0.0,0.0,0.0,0.0,0.0
216071485,0.0,0.0,0.0,96000.0,190000.0,0.0,0.0,0.0,0.0,0.0
216071491,0.0,0.0,11600.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0
